B9DGD6-2	locus:2149104	AT5G36880
B9DGD6-1	locus:2149104	AT5G36880
B9DGD6-2	locus:2149104	AT5G36880
B9DGD6-2	locus:2149104	AT5G36880
B9DGD6-2	locus:2149104	AT5G36880
B9DGI8-2	locus:2184251	AT5G28770
B9DGI8-1	locus:2184251	AT5G28770
B9DGI8-3	locus:2184251	AT5G28770
B9DGT7	locus:2010677	AT1G04820
B9DGT7	locus:2031015	AT1G50010
B9DGU7-3	locus:2024660	AT1G02880
B9DGU7-2	locus:2024660	AT1G02880
B9DGU7-1	locus:2024660	AT1G02880
B9DGU7-3	locus:2024660	AT1G02880
B9DGY1	locus:2077487	AT3G07700
B9DGY1	locus:2077487	AT3G07700
B9DGY1	locus:2077487	AT3G07700
B9DHQ0	locus:2183259	AT5G19770
B9DHQ0	locus:2183154	AT5G19780
B9DHT4-1	locus:2150295	AT5G19330
B9TSP7-2	locus:2103575	AT3G56700
B9TSP7-1	locus:2103575	AT3G56700
C0LGE0-1	locus:2026585	AT1G07650
C0LGF4-1	locus:2206179	AT1G31420
C0LGF5	locus:2009071	AT1G34110
C0LGG6-1	locus:2195845	AT1G51890
C0LGG8-1	locus:2203693	AT1G53430
C0LGH8-1	locus:2031371	AT1G63430
C0LGH8-1	locus:2031371	AT1G63430
C0LGI5	locus:2020558	AT1G69990
C0LGJ1	locus:2019255	AT1G74360
C0LGJ9	locus:2058872	AT2G02780
C0LGL4	locus:2066133	AT2G28960
C0LGL9	locus:2058759	AT2G35620
C0LGL9	locus:2058759	AT2G35620
C0LGL9	locus:2058759	AT2G35620
C0LGL9	locus:2058759	AT2G35620
C0LGN2-2	locus:2099352	AT3G14840
C0LGN2-1	locus:2099352	AT3G14840
C0LGP2	locus:2078176	AT3G46330
C0LGQ4	locus:2124102	AT4G18640
C0LGQ5	locus:2120362	AT4G20140
C0LGR3	locus:2131518	AT4G26540
C0LGR6-1	locus:2119896	AT4G29180
C0LGR9-1	locus:2128156	AT4G31250
C0LGS2	locus:2122239	AT4G36180
C0LGS3	locus:2115120	AT4G37250
C0LGT1	locus:2145407	AT5G10290
C0LGT1	locus:2145407	AT5G10290
C0LGT6	locus:2149922	AT5G20480
C0LGT6	locus:2149922	AT5G20480
C0LGU0	locus:2182623	AT5G35390
C0LGU5	locus:2171973	AT5G45780
C0LGV1	locus:2154344	AT5G48940
C0LGW2	locus:2174274	AT5G59650
C0LGW6-1	locus:2167948	AT5G62230
C0LGX3	locus:2169975	AT5G65710
C0LU16	locus:2138957	AT4G04780
C0SUT9	locus:2025635	AT1G08620
C0SUT9	locus:2025635	AT1G08620
C0SUT9	locus:2025635	AT1G08620
C0SV12	locus:2027109	AT1G62310
C0Z2L5-1	locus:2018411	AT1G75390
C5H8J1	locus:2055961	AT2G22140
C6KIE6	locus:2116204	AT4G34390
C8KI33-1	locus:2171993	AT5G45610
C8KI33-2	locus:2171993	AT5G45610
D1KF50-1	locus:2117303	AT4G25120
D2WL32-2	locus:2092349	AT3G20440
D2WL32-1	locus:2092349	AT3G20440
